UGANDA, 42 , 84 , 54 , 39 , 31 , 68 , 33 , 37 , 86 , 98 , 65 , 108 , 97 , 102 , 60 , 156 ,UGANDA,
WESTERN SAHARA, -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,WESTERN SAHARA,
"ZAIRE, REPUBLIC OF", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"ZAIRE, REPUBLIC OF",
ZAMBIA, 12 , 20 , 57 , 21 , 23 , 25 , 26 , 30 , 26 , 40 , 34 , 182 , 12 , 148 , 178 , 41 ,ZAMBIA,
ZIMBABWE, 50 , 22 , 34 , 5 , 306 , 10 , 8 , 19 , 14 , 3 , 3 , 4 , 8 , 4 , 6 , 14 ,ZIMBABWE,
,,,,,,,,,,,,,,,,,,
SOUTH AMERICA," 15,374 "," 18,264 "," 17,181 "," 16,897 "," 16,592 "," 25,254 "," 30,335 "," 31,744 "," 17,034 "," 19,847 "," 18,000 "," 19,119 "," 20,105 "," 24,604 "," 28,844 "," 30,611 ",SOUTH AMERICA,
,,,,,,,,,,,,,,,,,,
ANGUILLA, * , -   , * , -   , * , * , * , * , * , -   , -   , -   , -   , * , * , -   ,ANGUILLA,
ANTIGUA & BARBUDA, 5 , 4 , 4 , 2 , 2 , 6 , 5 , 8 , 1 , * , * , * , -   , * , -   , * ,ANTIGUA & BARBUDA,
ARGENTINA, 809 , 930 , 573 , 363 , 533 , 826 , 687 , 720 ," 4,232 "," 5,000 "," 4,813 "," 4,611 "," 5,166 "," 6,886 "," 8,197 "," 7,510 ",ARGENTINA,
ARUBA, 5 , 1 , 2 , * , * , * , 1 , 1 , * , * , * , 208 , * , -   , -   , -   ,ARUBA,
BAHAMAS, 23 , 11 , 16 , 9 , 6 , 3 , 3 , 4 , 27 , 69 , 61 , * , 1 , 7 , 7 , 5 ,BAHAMAS,
BARBADOS, 8 , 7 , 13 , 10 , 10 , 21 , 15 , 16 , * , 65 , 2 , 3 , 4 , 7 , 7 , 9 ,BARBADOS,
BELIZE, 11 , 12 , 8 , 7 , 8 , 9 , 10 , 13 , 1 , * , 2 , 2 , * , 13 , 15 , 2 ,BELIZE,
BERMUDA, 1 , 1 , 1 , 2 , 4 , 1 , 3 , 2 , * , * , -   , * , * , 2 , * , -   ,BERMUDA,
"BOLIVIA, PLURINATIONAL STATE OF", 30 , 35 , 48 , 54 , 46 , 84 , 95 , 101 , 60 , 22 , 15 , 34 , 59 , 24 , 33 , 9 ,"BOLIVIA, PLURINATIONAL STATE OF",
"BONAIRE, SINT EUSTATIUS AND SABA", -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , * , * ,"BONAIRE, SINT EUSTATIUS AND SABA",
BOUVET ISLAND, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,BOUVET ISLAND,
BRAZIL," 2,945 "," 3,659 "," 3,667 "," 3,660 "," 3,059 "," 4,294 "," 4,663 "," 4,998 "," 8,453 "," 9,047 "," 7,934 "," 7,546 "," 8,696 "," 11,578 "," 12,197 "," 12,463 ",BRAZIL,
CAYMAN ISLANDS, 2 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , * , * , * , * , * , * , 10 , 1 ,CAYMAN ISLANDS,
CHILE, 681 , 714 , 812 , 729 , 680 , 939 , 906 , 610 , 457 , 786 , 505 , 920 , 466 , 903 ," 1,473 "," 1,378 ",CHILE,
COLOMBIA, 347 , 420 , 538 , 471 , 425 , 653 , 643 , 533 , 121 , 250 , 472 , 305 , 494 , 403 , 667 ," 1,453 ",COLOMBIA,
COSTA RICA, 179 , 256 , 401 , 255 ," 1,290 "," 3,890 "," 3,683 "," 2,914 ", 87 , 84 , 102 , 113 , 227 , 768 ," 1,046 "," 1,408 ",COSTA RICA,
CUBA, 73 , 25 , 20 , 18 , 13 , 22 , 28 , 30 , 10 , 5 , 5 , 5 , 6 , 9 , 48 , 44 ,CUBA,
CURACAO, 3 , 3 , 6 , 5 , 7 , 2 , 4 , 4 , 1 , * , * , * , * , * , * , 5 ,CURACAO,
DOMINICA, 4 , 5 , 5 , 4 , 2 , 3 , 3 , 5 , * , * , 1 , * , -   , * , * , * ,DOMINICA,
DOMINICAN REPUBLIC, 138 , 201 , 145 , 156 , 159 , 260 , 211 , 183 , 17 , 22 , 12 , 20 , 37 , 63 , 40 , 103 ,DOMINICAN REPUBLIC,
ECUADOR, 70 , 145 , 129 , 119 , 108 , 143 , 179 , 292 , 266 , 487 , 518 , 359 , 637 , 798 , 952 ," 1,638 ",ECUADOR,
EL SALVADOR, 67 , 70 , 70 , 46 , 45 , 74 , 85 , 63 , 4 , 2 , 10 , 4 , 9 , 4 , 13 , 9 ,EL SALVADOR,
FALKLAND ISLAND (MALVINAS), -   , -   , * , -   , -   , * , * , * , * , -   , 3 , 6 , 10 , -   , -   , 13 ,FALKLAND ISLAND (MALVINAS),
FRENCH GUIANA, 3 , 2 , 3 , 9 , 1 , 3 , 4 , 3 , -   , -   , -   , -   , -   , -   , -   , -   ,FRENCH GUIANA,
GRENADA, 37 , 38 , 16 , 3 , 4 , 3 , 4 , 4 , * , * , * , 1 , * , * , 2 , * ,GRENADA,
GUADELOUPE, 8 , 7 , 9 , 4 , 9 , 3 , 7 , 3 , * , 1 , * , * , * , * , -   , * ,GUADELOUPE,
GUATEMALA, 134 , 146 , 124 , 217 , 138 , 215 , 274 , 239 , 173 , 250 , 48 , 160 , 143 , 163 , 70 , 79 ,GUATEMALA,
GUYANA, 24 , 29 , 34 , 24 , 23 , 49 , 42 , 51 , 7 , 4 , 2 , 2 , 1 , 1 , 1 , 6 ,GUYANA,
HAITI, 43 , 96 , 75 , 68 , 73 , 35 , 28 , 30 , * , 1 , 3 , 3 , 6 , 2 , 1 , 26 ,HAITI,
HONDURAS, 100 , 72 , 103 , 71 , 52 , 106 , 107 , 137 , 6 , 10 , 5 , 9 , 7 , 9 , 24 , 21 ,HONDURAS,
JAMAICA, 85 , 70 , 70 , 50 , 55 , 58 , 93 , 67 , 2 , 3 , 4 , 6 , 5 , 11 , 6 , 11 ,JAMAICA,
MARTINIQUE, 6 , 10 , 11 , 15 , 8 , 11 , 15 , 7 , -   , * , -   , * , -   , -   , -   , * ,MARTINIQUE,
MEXICO," 7,846 "," 9,611 "," 8,380 "," 9,055 "," 8,406 "," 11,596 "," 16,707 "," 18,716 "," 1,549 "," 1,402 "," 1,485 "," 1,730 "," 1,695 "," 2,304 "," 2,933 "," 3,064 ",MEXICO,
MONTSERRAT, -   , 2 , * , -   , * , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * ,MONTSERRAT,
NETHERLANDS ANTILLES, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,NETHERLANDS ANTILLES,
